Config,h1,h2,h3,DNN_train,DNN_test,DNN_time,ResNet_train,ResNet_test,ResNet_time,MLKM_train,MLKM_test,MLKM_time,RKN_train,RKN_test,RKN_time
"(32,64,16)",32,64,16,0.4296611249446869,0.9776241183280945,63.391753911972046,0.29785236716270447,1.1360920667648315,102.80331707000732,0.9999833106994629,1.1396150588989258,247.82835412025452,0.413549542427063,1.0180389881134033,195.81008410453796
"(64,128,32)",64,128,32,0.3082619607448578,1.062558650970459,78.67101192474365,0.181728333234787,1.191058874130249,148.5078809261322,0.9990417957305908,1.1388583183288574,236.3284149169922,0.29923015832901,1.0915796756744385,271.7578852176666
"(128,256,64)",128,256,64,0.19364039599895477,1.1087234020233154,134.6668791770935,0.0908614918589592,1.188411831855774,258.94689202308655,0.8305813074111938,0.9571371078491211,276.73482179641724,0.2101556956768036,1.1448160409927368,499.95009303092957
"(256,512,128)",256,512,128,0.09752170741558075,1.2023918628692627,288.7398109436035,0.030976181849837303,1.3254963159561157,598.8457028865814,0.7767426371574402,0.9204828143119812,392.9543240070343,0.10981475561857224,1.1778215169906616,1175.7712337970734
