n,DNN_time,DNN_test,DNN_interval,ResNet_time,ResNet_test,ResNet_interval,MLKM_time,MLKM_test,MLKM_interval,ResKernelNet_time,ResKernelNet_test,ResKernelNet_interval,DKL_time,DKL_test,DKL_interval,DGP_time,DGP_test,DGP_interval
200,0.5745768547058105,0.056059498339891434,0.877834677696228,0.2627370357513428,0.06529921293258667,1.0029150247573853,0.5954177379608154,0.052958473563194275,0.8885176181793213,0.8259339332580566,0.056630752980709076,0.905920684337616,0.44679808616638184,0.04453740641474724,0.8228615522384644,11.045565128326416,0.031340230256319046,0.666691780090332
500,0.6026129722595215,0.041239041835069656,0.7415884733200073,0.54323410987854,0.04033760726451874,0.7550414800643921,0.7184088230133057,0.048481691628694534,0.835803747177124,0.38754820823669434,0.06066739559173584,0.9602017998695374,0.8738319873809814,0.03170439228415489,0.6868941187858582,25.695035934448242,0.02912214584648609,0.6558634638786316
1000,1.1836607456207275,0.03588297218084335,0.686454176902771,1.027703046798706,0.03607216104865074,0.7203545570373535,0.5719547271728516,0.05271076038479805,0.8622591495513916,0.9323980808258057,0.05867011100053787,0.9061261415481567,2.908245086669922,0.037767890840768814,0.7271513938903809,70.93366718292236,0.029055213555693626,0.6469957828521729
2000,1.5467817783355713,0.03891400620341301,0.75498366355896,1.398751974105835,0.04414650797843933,0.794069766998291,1.92069411277771,0.04618614912033081,0.8265252709388733,1.0368058681488037,0.054354991763830185,0.88090580701828,8.929358720779419,0.029543032869696617,0.6279058456420898,107.27214312553406,0.028135031461715698,0.6485857367515564
5000,5.2150750160217285,0.03784859925508499,0.7433018088340759,3.6009650230407715,0.03899864852428436,0.757453441619873,5.9062559604644775,0.03709908202290535,0.7437430024147034,5.589663028717041,0.03665640577673912,0.7314002513885498,56.76805019378662,0.028558429330587387,0.6605567932128906,219.31435084342957,0.027931606397032738,0.6507338881492615
