Method,SNR 3:1,SNR 6:1,SNR 1.5:1
DNN,0.13069100677967072,0.037549201399087906,0.49970704317092896
ResNet,0.12334088236093521,0.042168211191892624,0.4795354902744293
MLKM,0.12423040717840195,0.03215625137090683,0.4620031416416168
ResKernelNet,0.12440526485443115,0.030829420313239098,0.4838978350162506
DKL,0.11367680132389069,0.028863826766610146,0.4483112096786499
DGP,0.11546767503023148,0.028696158900856972,0.44259679317474365
