Method,Split Cov,Split Interval,Split q_hat,Hetero Cov,Hetero Interval
DNN,0.95,1.4051142930984497,0.7025571465492249,,
ResNet,0.944,1.3445215225219727,0.6722607612609863,,
MLKM,0.953,1.4016692638397217,0.7008346319198608,0.953125,1.396637184447991
ResKernelNet,0.958,1.4022432565689087,0.7011216282844543,0.9565,1.3939834008914462
DKL,0.9465,1.3154947757720947,0.6577473878860474,,
DGP,0.957,1.3615607023239136,0.6807803511619568,,
