Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,0.5067891478538513,0.49970704317092896,22.567518949508667,0.5625
ResNet,0.46654921770095825,0.4795354902744293,19.99720311164856,0.2597923278808594
MLKM,0.465596079826355,0.4620031416416168,28.585870027542114,0.26895618438720703
ResKernelNet,0.47713202238082886,0.4838978350162506,19.091392993927002,0.359375
DKL,0.4424225687980652,0.4483112096786499,268.1858720779419,0.859375
DGP,0.4502842426300049,0.44259679317474365,1142.6410222053528,1.34375
