Method,SNR 3:1,SNR 6:1,SNR 1.5:1
DNN,1.4051142930984497,0.7316761016845703,2.777871608734131
ResNet,1.3445215225219727,0.7659952044487,2.595698118209839
MLKM,1.4016692638397217,0.7222065925598145,2.7035903930664062
ResKernelNet,1.4022432565689087,0.6964521408081055,2.633840799331665
DKL,1.3154947757720947,0.6809353828430176,2.6477744579315186
DGP,1.3615607023239136,0.6663432121276855,2.609182834625244
