n,DNN_time,DNN_test,DNN_interval,ResNet_time,ResNet_test,ResNet_interval,MLKM_time,MLKM_test,MLKM_interval,ResKernelNet_time,ResKernelNet_test,ResKernelNet_interval,DKL_time,DKL_test,DKL_interval,DGP_time,DGP_test,DGP_interval
200,0.2792658805847168,0.17693473398685455,1.636873722076416,0.26396799087524414,0.2369804084300995,1.847713589668274,0.31981801986694336,0.16396929323673248,1.593630075454712,0.47510504722595215,0.15918363630771637,1.481675624847412,0.45337796211242676,0.16422802209854126,1.5517146587371826,13.075263977050781,0.12364574521780014,1.329296588897705
500,0.656592845916748,0.14810073375701904,1.4439303874969482,0.5707588195800781,0.13852037489414215,1.425391674041748,0.5160620212554932,0.15246954560279846,1.5360565185546875,0.5955970287322998,0.15477190911769867,1.515099048614502,1.1820580959320068,0.1232333555817604,1.3551738262176514,27.954840183258057,0.1138215959072113,1.309969425201416
1000,0.7455470561981201,0.13541623950004578,1.4310863018035889,0.9800131320953369,0.1336180418729782,1.3766989707946777,0.9897658824920654,0.1507897526025772,1.4495396614074707,0.8300418853759766,0.16176944971084595,1.4833942651748657,2.146177053451538,0.12124131619930267,1.3492460250854492,49.97143220901489,0.11628340184688568,1.2992744445800781
2000,1.0192489624023438,0.1477574110031128,1.4794301986694336,2.2975101470947266,0.1297539919614792,1.3359631299972534,1.924428939819336,0.12656211853027344,1.39617919921875,1.481886863708496,0.1636335551738739,1.5439705848693848,8.89914321899414,0.11535182595252991,1.2784373760223389,113.69593119621277,0.11357665061950684,1.3098465204238892
5000,1.6355259418487549,0.148500457406044,1.4672513008117676,3.108635902404785,0.1286877989768982,1.3756606578826904,2.050187110900879,0.14094427227973938,1.471482753753662,2.493169069290161,0.1386551558971405,1.4307528734207153,61.40020990371704,0.11335863918066025,1.3054149150848389,269.2430100440979,0.11216463893651962,1.2906357049942017
