Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.951,2.777871608734131,,
ResNet,0.9365,2.595698118209839,,
MLKM,0.9545,2.7035903930664062,0.9548419468138485,2.7070668203420922
ResKernelNet,0.9395,2.633840799331665,0.9335149863760218,2.6012383419269267
DKL,0.9495,2.6477744579315186,,
DGP,0.9505,2.609182834625244,,
