Method,Train MSE,Test MSE,Time (s),CPU Δ (MB),CPU Peak (MB),Conf. Coverage,Conf. Interval
RF+Ridge,90.39444732666016,108.05602264404297,2.274160146713257,-108.15625,52.60939025878906,0.9302483507954986,37.829833984375
DNN,73.31170654296875,294.0677185058594,482.38351011276245,-223.8125,5.4375,0.926755917733799,40.5537109375
ResNet,77.58187103271484,147.12786865234375,578.4224419593811,-225.796875,2.90625,0.9298603026775321,40.866455078125
DKL,6.432210445404053,251.00543212890625,42823.60355305672,-3666.359375,3254.78125,,
DGP,70.71807861328125,94.0875015258789,131788.0976948738,548.234375,2653.5625,,
MLKM,58.35234451293945,108.93556213378906,618.0723929405212,4.96875,7.734375,0.9372332169188979,40.56103515625
ResKernelNet,92.0533447265625,111.010498046875,585.0499053001404,-2189.828125,6.546875,0.9325766395032984,40.335693359375
