Method,D,Train MSE,Test MSE,Epochs,Time (s)
MLKM,64,79.69197845458984,109.77808380126953,681,339.8664970397949
MLKM,128,55.697147369384766,108.71780395507812,1000,555.4089422225952
MLKM,256,52.481231689453125,113.75936126708984,865,620.2422080039978
ResKernelNet,64,89.70462036132812,108.09119415283203,679,537.7559051513672
ResKernelNet,128,92.01516723632812,110.92659759521484,647,526.9351797103882
ResKernelNet,256,89.13204193115234,105.46684265136719,844,739.9881949424744
