nu,n,D,test_mse,interval
3.5,4000,384,0.18564368784427643,1.7422935962677002
3.5,4000,416,0.1909787654876709,1.707338571548462
3.5,4000,448,0.18456093966960907,1.7315958738327026
3.5,4000,480,0.18418654799461365,1.7522356510162354
3.5,4000,512,0.18483524024486542,1.702373743057251
3.5,6000,32,0.1821710467338562,1.7129478454589844
3.5,6000,64,0.18597964942455292,1.7425950765609741
3.5,6000,96,0.19363610446453094,1.779968500137329
3.5,6000,128,0.181380957365036,1.730034589767456
3.5,6000,160,0.17554724216461182,1.7138285636901855
3.5,6000,192,0.18790575861930847,1.7637910842895508
3.5,6000,224,0.1862894594669342,1.7453035116195679
3.5,6000,256,0.1824285387992859,1.7414630651474
3.5,6000,288,0.18974851071834564,1.774395227432251
3.5,6000,320,0.2018464058637619,1.8070989847183228
3.5,6000,352,0.18415319919586182,1.7512798309326172
3.5,6000,384,0.18902255594730377,1.718012809753418
3.5,6000,416,0.1822284758090973,1.7352333068847656
3.5,6000,448,0.18316128849983215,1.7465965747833252
3.5,6000,480,0.18752293288707733,1.7505085468292236
3.5,6000,512,0.18454314768314362,1.7475926876068115
3.5,8000,32,0.17104217410087585,1.6811822652816772
3.5,8000,64,0.18421734869480133,1.7459523677825928
3.5,8000,96,0.1842784583568573,1.7505401372909546
3.5,8000,128,0.18427430093288422,1.7399845123291016
3.5,8000,160,0.18710723519325256,1.7456203699111938
3.5,8000,192,0.18670356273651123,1.7074321508407593
3.5,8000,224,0.1881745606660843,1.7664391994476318
3.5,8000,256,0.1850218027830124,1.7455486059188843
3.5,8000,288,0.18520042300224304,1.7403875589370728
3.5,8000,320,0.18420910835266113,1.751816987991333
3.5,8000,352,0.18177266418933868,1.7919683456420898
3.5,8000,384,0.18602243065834045,1.7425428628921509
3.5,8000,416,0.1936945617198944,1.7478127479553223
3.5,8000,448,0.18647488951683044,1.7720428705215454
3.5,8000,480,0.18532511591911316,1.7406773567199707
3.5,8000,512,0.1837398111820221,1.7501275539398193
5.0,200,32,0.19413498044013977,1.7347034215927124
5.0,200,64,0.2085007280111313,1.8638672828674316
5.0,200,96,0.18760809302330017,1.7755721807479858
5.0,200,128,0.20032411813735962,1.7788615226745605
5.0,200,160,0.1872754693031311,1.7461860179901123
5.0,200,192,0.19648925960063934,1.8125383853912354
5.0,200,224,0.18300200998783112,1.7280466556549072
5.0,200,256,0.19470608234405518,1.7960187196731567
5.0,200,288,0.1835235357284546,1.722659707069397
5.0,200,320,0.18336303532123566,1.7428339719772339
5.0,200,352,0.18841995298862457,1.75313138961792
5.0,200,384,0.19254396855831146,1.7865259647369385
5.0,200,416,0.18659012019634247,1.786906123161316
5.0,200,448,0.189104363322258,1.7643846273422241
5.0,200,480,0.18657097220420837,1.749220848083496
5.0,200,512,0.18688446283340454,1.7240790128707886
5.0,500,32,0.18838344514369965,1.7263530492782593
5.0,500,64,0.18798582255840302,1.7862730026245117
5.0,500,96,0.19017022848129272,1.7542755603790283
5.0,500,128,0.1823284924030304,1.7304480075836182
5.0,500,160,0.1821519136428833,1.7371004819869995
5.0,500,192,0.18105526268482208,1.715855360031128
5.0,500,224,0.19531604647636414,1.7907601594924927
5.0,500,256,0.1839110553264618,1.744041919708252
5.0,500,288,0.19522695243358612,1.734647274017334
5.0,500,320,0.1809437870979309,1.7393182516098022
5.0,500,352,0.18592815101146698,1.754871129989624
5.0,500,384,0.1842750906944275,1.7064121961593628
5.0,500,416,0.1805236041545868,1.7120298147201538
5.0,500,448,0.18618683516979218,1.7104829549789429
5.0,500,480,0.18401584029197693,1.7407869100570679
5.0,500,512,0.187209352850914,1.7346359491348267
5.0,1000,32,0.18403005599975586,1.724691390991211
5.0,1000,64,0.1879732608795166,1.7329998016357422
5.0,1000,96,0.1863386183977127,1.7438359260559082
5.0,1000,128,0.18668359518051147,1.7269394397735596
5.0,1000,160,0.1837284117937088,1.720096230506897
5.0,1000,192,0.18968570232391357,1.759307622909546
5.0,1000,224,0.1848297119140625,1.7243084907531738
5.0,1000,256,0.19035251438617706,1.7530936002731323
5.0,1000,288,0.18622826039791107,1.7449296712875366
5.0,1000,320,0.1839946210384369,1.7184429168701172
5.0,1000,352,0.19576169550418854,1.7751429080963135
5.0,1000,384,0.1856604367494583,1.7613571882247925
5.0,1000,416,0.18599537014961243,1.741924524307251
5.0,1000,448,0.19170603156089783,1.7581844329833984
5.0,1000,480,0.1938982605934143,1.769089937210083
5.0,1000,512,0.1915084272623062,1.7677979469299316
5.0,2000,32,0.18527425825595856,1.7477493286132812
5.0,2000,64,0.18511436879634857,1.7461161613464355
5.0,2000,96,0.18193739652633667,1.73041832447052
5.0,2000,128,0.18553905189037323,1.7502882480621338
5.0,2000,160,0.18389452993869781,1.732918620109558
5.0,2000,192,0.18374969065189362,1.7336674928665161
5.0,2000,224,0.18229255080223083,1.7383935451507568
5.0,2000,256,0.18566347658634186,1.734800934791565
5.0,2000,288,0.18336570262908936,1.7061315774917603
5.0,2000,320,0.19122402369976044,1.8133206367492676
5.0,2000,352,0.18416620790958405,1.7382926940917969
5.0,2000,384,0.18349668383598328,1.7286118268966675
5.0,2000,416,0.19160853326320648,1.7894974946975708
5.0,2000,448,0.18636727333068848,1.7413971424102783
5.0,2000,480,0.18462413549423218,1.710737705230713
5.0,2000,512,0.18696047365665436,1.777891993522644
5.0,4000,32,0.18022383749485016,1.7023879289627075
5.0,4000,64,0.17941293120384216,1.700730323791504
5.0,4000,96,0.19008208811283112,1.7998626232147217
5.0,4000,128,0.1840062290430069,1.729460597038269
5.0,4000,160,0.18539495766162872,1.7395823001861572
5.0,4000,192,0.19003692269325256,1.7682304382324219
5.0,4000,224,0.18596528470516205,1.743376612663269
5.0,4000,256,0.18353687226772308,1.7398619651794434
5.0,4000,288,0.20158551633358002,1.8137671947479248
5.0,4000,320,0.1906089335680008,1.7719430923461914
5.0,4000,352,0.18480746448040009,1.7476223707199097
5.0,4000,384,0.1857668161392212,1.7630319595336914
5.0,4000,416,0.18370355665683746,1.7376691102981567
5.0,4000,448,0.19617745280265808,1.7903990745544434
5.0,4000,480,0.18667946755886078,1.7091060876846313
5.0,4000,512,0.18112406134605408,1.691259741783142
5.0,6000,32,0.17161822319030762,1.6362700462341309
5.0,6000,64,0.1832544207572937,1.740094780921936
5.0,6000,96,0.18522559106349945,1.7422550916671753
5.0,6000,128,0.1828567534685135,1.713064193725586
5.0,6000,160,0.1832813173532486,1.7454220056533813
5.0,6000,192,0.18493029475212097,1.7470567226409912
5.0,6000,224,0.18255603313446045,1.7429118156433105
5.0,6000,256,0.18644244968891144,1.75002121925354
5.0,6000,288,0.18668358027935028,1.7568330764770508
5.0,6000,320,0.18453314900398254,1.7474174499511719
5.0,6000,352,0.18411663174629211,1.7375047206878662
5.0,6000,384,0.21832534670829773,1.8842568397521973
5.0,6000,416,0.18400005996227264,1.7507035732269287
5.0,6000,448,0.18297705054283142,1.7248432636260986
5.0,6000,480,0.19097277522087097,1.7596900463104248
5.0,6000,512,0.19421325623989105,1.8350836038589478
5.0,8000,32,0.18308468163013458,1.7224515676498413
5.0,8000,64,0.18151605129241943,1.7568504810333252
5.0,8000,96,0.18523818254470825,1.7420545816421509
5.0,8000,128,0.1856352835893631,1.7655771970748901
5.0,8000,160,0.1871373951435089,1.7789416313171387
