nu,n,D,test_mse,interval
20,200,64,0.0054960912093520164,0.30535584688186646
20,200,96,0.0017885892884805799,0.17734336853027344
20,200,128,0.003730796044692397,0.1977243423461914
20,200,160,0.003907563630491495,0.23431193828582764
20,200,192,0.004924039822071791,0.33029887080192566
20,200,224,0.00282795587554574,0.20537018775939941
20,200,256,0.0037196362391114235,0.22885257005691528
20,200,288,0.00509675545617938,0.28731751441955566
20,200,320,0.0013355669798329473,0.16562438011169434
20,200,352,0.002043074229732156,0.18485450744628906
20,200,384,0.00183141662273556,0.17692524194717407
20,200,416,0.0026438278146088123,0.18393588066101074
20,200,448,0.002496891189366579,0.23045283555984497
20,200,480,0.0016263086581602693,0.17333930730819702
20,200,512,0.002649100264534354,0.176991268992424
20,500,32,0.0067468988709151745,0.3430953025817871
20,500,64,0.0009181436034850776,0.11497253179550171
20,500,96,0.00045139878056943417,0.07662378251552582
20,500,128,0.0005233754636719823,0.07400941848754883
20,500,160,0.0006141042686067522,0.09997797012329102
20,500,192,0.0006659799837507308,0.10735227167606354
20,500,224,0.00036478019319474697,0.07822227478027344
20,500,256,0.0004794200067408383,0.08505845069885254
20,500,288,0.0007260962738655508,0.0991525650024414
20,500,320,0.000417213945183903,0.07707595825195312
20,500,352,0.0005014997441321611,0.08425482362508774
20,500,384,0.0005472242482937872,0.08893251419067383
20,500,416,0.0003021433367393911,0.06479184329509735
20,500,448,0.00034293747739866376,0.07273006439208984
20,500,480,0.0004021977656520903,0.0766090452671051
20,500,512,0.0003012653614860028,0.07214953005313873
20,1000,32,0.003088433761149645,0.2140589952468872
20,1000,64,0.0005827364511787891,0.08987164497375488
20,1000,96,0.00030923649319447577,0.06923854351043701
20,1000,128,0.0002938233083114028,0.06571316719055176
20,1000,160,0.00044711047667078674,0.07963860034942627
20,1000,192,0.0003618980699684471,0.07355678081512451
20,1000,224,0.0002743693767115474,0.06424307078123093
20,1000,256,0.00024203411885537207,0.06031513214111328
20,1000,288,0.0003871028311550617,0.07363510131835938
20,1000,320,0.0002628604997880757,0.06673097610473633
20,1000,352,0.000266276765614748,0.0628812313079834
20,1000,384,0.00027604642673395574,0.06957054138183594
20,1000,416,0.00021500705042853951,0.059944748878479004
20,1000,448,0.00029004394309595227,0.06916391849517822
20,1000,480,0.0003066341741941869,0.06986415386199951
20,1000,512,0.00022781478764954954,0.06124448776245117
20,2000,32,0.002475201152265072,0.2063876986503601
20,2000,64,0.0003286662104073912,0.06392550468444824
20,2000,96,0.00022452202392742038,0.056085824966430664
20,2000,128,0.00027650673291645944,0.06312727928161621
20,2000,160,0.00020906940335407853,0.05493605136871338
20,2000,192,0.00025461899349465966,0.06386756896972656
20,2000,224,0.0002164910692954436,0.05507946014404297
20,2000,256,0.00020633789245039225,0.05453389883041382
20,2000,288,0.00036023734719492495,0.0725197046995163
20,2000,320,0.00023947034787852317,0.05791425704956055
20,2000,352,0.00018950062803924084,0.05431997776031494
20,2000,384,0.0002610360679682344,0.06270360946655273
20,2000,416,0.00018676540639717132,0.050420522689819336
20,2000,448,0.00023981813865248114,0.06025293469429016
20,2000,480,0.00022287607134785503,0.05680716037750244
20,2000,512,0.00015694648027420044,0.049072265625
20,4000,32,0.0013078920310363173,0.1471167802810669
20,4000,64,0.0002966778993140906,0.06339344382286072
20,4000,96,0.0001727461931295693,0.049174606800079346
20,4000,128,0.0002057196688838303,0.05383482575416565
20,4000,160,0.00020407560805324465,0.057149529457092285
20,4000,192,0.0001824111386667937,0.054538726806640625
20,4000,224,0.00018055018153972924,0.05522739887237549
20,4000,256,0.0001706769544398412,0.05193889141082764
20,4000,288,0.00020626701007131487,0.052748680114746094
20,4000,320,0.0001747456262819469,0.051233768463134766
20,4000,352,0.00016397186846006662,0.04877924919128418
20,4000,384,0.00017387453408446163,0.05118796229362488
20,4000,416,0.00015046166663523763,0.045374929904937744
20,4000,448,0.00016308062185999006,0.050222158432006836
20,4000,480,0.00016815589333418757,0.05223052203655243
20,4000,512,0.00015361250552814454,0.04705917835235596
20,6000,32,0.0016644368879497051,0.15499195456504822
20,6000,64,0.0002764238161034882,0.06267550587654114
20,6000,96,0.00016851632972247899,0.05031999945640564
20,6000,128,0.00020163078443147242,0.05156266689300537
20,6000,160,0.0001771841198205948,0.04937613010406494
20,6000,192,0.00018983965856023133,0.05462312698364258
20,6000,224,0.00017600625869818032,0.05103960633277893
20,6000,256,0.00016525492537766695,0.05240742862224579
20,6000,288,0.00018787980661727488,0.055962882936000824
20,6000,320,0.0001467382680857554,0.04625129699707031
20,6000,352,0.00017530178593005985,0.04985761642456055
20,6000,384,0.00016558650531806052,0.0493091344833374
20,6000,416,0.00014906552678439766,0.0434391126036644
20,6000,448,0.00014738619211129844,0.04657799005508423
20,6000,480,0.00016521864745300263,0.0508275032043457
20,6000,512,0.00014549761544913054,0.04582870006561279
20,8000,32,0.001431954326108098,0.14243757724761963
20,8000,64,0.00024107015633489937,0.06155514717102051
20,8000,96,0.00017306381778325886,0.05160646513104439
20,8000,128,0.00015676030307076871,0.047237418591976166
20,8000,160,0.00016476877499371767,0.04960942268371582
20,8000,192,0.0001715522084850818,0.05149507522583008
20,8000,224,0.00014703572378493845,0.046677302569150925
20,8000,256,0.00016322199371643364,0.051302626729011536
20,8000,288,0.00016942026559263468,0.05117989331483841
20,8000,320,0.00016222817066591233,0.04994884133338928
20,8000,352,0.00015310269373003393,0.04934251308441162
20,8000,384,0.00016603467520326376,0.05277872085571289
20,8000,416,0.00014605118485633284,0.04347250610589981
20,8000,448,0.00014274546992965043,0.04656195640563965
20,8000,480,0.00015681100194342434,0.04965388774871826
20,8000,512,0.00014071866462472826,0.04489261284470558
30,200,32,0.0656992569565773,1.1837975978851318
30,200,64,0.004871408920735121,0.30488717555999756
30,200,96,0.0019117479678243399,0.18783056735992432
30,200,128,0.003194594755768776,0.1886448860168457
30,200,160,0.003827946027740836,0.2122485637664795
30,200,192,0.004318514838814735,0.2970271706581116
30,200,224,0.0024203199427574873,0.19481034576892853
30,200,256,0.0033242402132600546,0.22370481491088867
30,200,288,0.004145593848079443,0.2717616558074951
30,200,320,0.0012961204629391432,0.1653270721435547
30,200,352,0.0015026271576061845,0.1529402732849121
30,200,384,0.00212261825799942,0.20442664623260498
30,200,416,0.0031013775151222944,0.18375039100646973
30,200,448,0.0029526613652706146,0.22866612672805786
30,200,480,0.0019864554051309824,0.20054805278778076
30,200,512,0.002004310954362154,0.16111207008361816
30,500,32,0.006563627161085606,0.355177640914917
30,500,64,0.0012234491296112537,0.13724470138549805
30,500,96,0.000458975147921592,0.07637572288513184
30,500,128,0.0004928285488858819,0.07219099998474121
30,500,160,0.0006266659474931657,0.09829258918762207
30,500,192,0.0006910598021931946,0.10979032516479492
30,500,224,0.000410541397286579,0.08132471144199371
30,500,256,0.000505533127579838,0.08779251575469971
30,500,288,0.0006289061857387424,0.09658528864383698
30,500,320,0.00040475878631696105,0.07727420330047607
30,500,352,0.00052367162425071,0.08657372742891312
30,500,384,0.000517845677677542,0.08814235776662827
30,500,416,0.00031890434911474586,0.06893730163574219
30,500,448,0.0003687813295982778,0.077362060546875
30,500,480,0.0004680445999838412,0.08951979875564575
30,500,512,0.00031294318614527583,0.07406771183013916
30,1000,32,0.004016483668237925,0.2621183395385742
30,1000,64,0.00045844720443710685,0.0843082070350647
30,1000,96,0.0003373245126567781,0.07176899909973145
30,1000,128,0.00026473638718016446,0.059825316071510315
30,1000,160,0.0005187471979297698,0.0903240442276001
30,1000,192,0.00035782658960670233,0.07504184544086456
30,1000,224,0.0002741576172411442,0.0653148889541626
30,1000,256,0.0002465595898684114,0.06226831674575806
30,1000,288,0.00038697978015989065,0.07728767395019531
30,1000,320,0.0002675341966096312,0.06655281782150269
30,1000,352,0.0002681088517419994,0.06152079999446869
30,1000,384,0.00035764818312600255,0.07553699612617493
30,1000,416,0.00024758742074482143,0.06391763687133789
30,1000,448,0.00027501891599968076,0.0672416090965271
30,1000,480,0.0003485449415165931,0.07807391881942749
30,1000,512,0.00022524049563799053,0.05893838405609131
30,2000,32,0.0019652515184134245,0.1744580864906311
30,2000,64,0.0003033625544048846,0.06909787654876709
30,2000,96,0.00023577730462420732,0.057298317551612854
30,2000,128,0.000275182886980474,0.06191021203994751
30,2000,160,0.0002511843922547996,0.06400036811828613
30,2000,192,0.000257557985605672,0.06477892398834229
30,2000,224,0.00019503870862536132,0.05344521999359131
30,2000,256,0.00022374004765879363,0.05757486820220947
30,2000,288,0.00024068864877335727,0.0601804256439209
30,2000,320,0.00023385054373648018,0.05723905563354492
30,2000,352,0.0002117894619004801,0.05778074264526367
30,2000,384,0.0002462752163410187,0.0635119080543518
30,2000,416,0.0001981411624001339,0.056287191808223724
30,2000,448,0.00019784053438343108,0.053468964993953705
30,2000,480,0.0002561777364462614,0.06072869896888733
30,2000,512,0.00017227311036549509,0.050084590911865234
30,4000,32,0.001623135176487267,0.16485297679901123
30,4000,64,0.000262280780589208,0.06594651937484741
30,4000,96,0.00018315287888981402,0.05266350507736206
30,4000,128,0.0001912453881232068,0.052965641021728516
30,4000,160,0.00020716317521873862,0.054624080657958984
30,4000,192,0.0002295674494234845,0.06121349334716797
30,4000,224,0.00018264476966578513,0.05411088466644287
30,4000,256,0.0001716006954666227,0.052503157407045364
30,4000,288,0.00020163992303423584,0.05424237251281738
30,4000,320,0.00017672083049546927,0.052330970764160156
30,4000,352,0.00016429809329565614,0.04881131649017334
30,4000,384,0.00018061236187350005,0.05016732215881348
30,4000,416,0.00015413679648190737,0.04595315456390381
30,4000,448,0.00017102918354794383,0.05107831954956055
30,4000,480,0.00016093108570203185,0.04808616638183594
30,4000,512,0.00015309572336263955,0.04651522636413574
30,6000,32,0.001240729819983244,0.14003624022006989
30,6000,64,0.0002712482528295368,0.06408166885375977
30,6000,96,0.00017187147750519216,0.05094978213310242
30,6000,128,0.00019061767670791596,0.05403614044189453
30,6000,160,0.00018671565339900553,0.05160057544708252
30,6000,192,0.00018937695131171495,0.054068803787231445
30,6000,224,0.00017657990974839777,0.051436275243759155
30,6000,256,0.00017029712034855038,0.05206054449081421
30,6000,288,0.00019056627934332937,0.05293607711791992
30,6000,320,0.0001478754129493609,0.04639625549316406
30,6000,352,0.0001747285423334688,0.05040931701660156
30,6000,384,0.00015629194967914373,0.046334266662597656
30,6000,416,0.0001525682891951874,0.04568208009004593
30,6000,448,0.00015808090392965823,0.04738163948059082
30,6000,480,0.00015959706797730178,0.047490693628787994
30,6000,512,0.0001448596449336037,0.04698944091796875
30,8000,32,0.0008827762212604284,0.12476253509521484
30,8000,64,0.00024023503647185862,0.06232404708862305
30,8000,96,0.00017676792049314827,0.05101609230041504
30,8000,128,0.00014895877393428236,0.04595059156417847
30,8000,160,0.00019466578669380397,0.053922176361083984
30,8000,192,0.00017598435806576163,0.052033066749572754
30,8000,224,0.0001596780784893781,0.04866647720336914
30,8000,256,0.00015387866005767137,0.04918670654296875
30,8000,288,0.00017291581025347114,0.04981660842895508
30,8000,320,0.00016324651369359344,0.04914093017578125
30,8000,352,0.00015622374485246837,0.04678383469581604
30,8000,384,0.00015653490845579654,0.04663851112127304
30,8000,416,0.0001450656563974917,0.043944090604782104
30,8000,448,0.00014550892228726298,0.046183645725250244
30,8000,480,0.00014601298607885838,0.04699685424566269
30,8000,512,0.0001675054372753948,0.04816271737217903
