nu,n,D,test_mse,interval
15,4000,32,0.19119995832443237,1.8485819101333618
15,4000,64,0.14937236905097961,1.5061159133911133
15,4000,96,0.10334832966327667,1.5021370649337769
15,4000,128,0.03161243349313736,0.8695297241210938
15,4000,160,0.16226248443126678,1.8336353302001953
15,4000,192,0.050411760807037354,0.8614025115966797
15,4000,224,0.07690351456403732,1.2528057098388672
15,4000,256,0.0346812903881073,0.8028621673583984
15,4000,288,0.09937600791454315,1.3341116905212402
15,4000,320,0.17624202370643616,1.8008673191070557
15,4000,352,0.2582177519798279,2.1294214725494385
15,4000,384,0.05762404575943947,1.0597996711730957
15,4000,416,0.035388123244047165,0.8515453338623047
15,4000,448,0.25184404850006104,2.2171623706817627
15,4000,480,0.16131483018398285,1.9267605543136597
15,4000,512,0.03322385996580124,0.8281629085540771
15,6000,32,0.04367123544216156,0.9664639234542847
15,6000,64,0.10603895783424377,1.5772998332977295
15,6000,96,0.20869950950145721,2.2241621017456055
15,6000,128,0.025606879964470863,0.7187631130218506
15,6000,160,0.2831110954284668,2.3647825717926025
15,6000,192,0.07358738780021667,1.2298190593719482
15,6000,224,0.34205788373947144,2.846721649169922
15,6000,256,0.029258165508508682,0.6510870456695557
15,6000,288,0.057616446167230606,1.0290141105651855
15,6000,320,0.06060198321938515,0.9979937076568604
15,6000,352,0.3946891725063324,2.6329989433288574
15,6000,384,0.4581329822540283,3.2137162685394287
15,6000,416,0.5722663402557373,3.776502847671509
15,6000,448,0.25582054257392883,2.4167466163635254
15,6000,480,0.132689967751503,1.404029369354248
15,6000,512,0.03511974588036537,0.8583865165710449
15,8000,32,0.02977241948246956,0.9146678447723389
15,8000,64,0.03231782466173172,0.8266825675964355
15,8000,96,0.5596693754196167,3.2904481887817383
15,8000,128,0.029128674417734146,0.816439151763916
15,8000,160,0.11732495576143265,1.6227295398712158
15,8000,192,0.5572936534881592,3.317166805267334
15,8000,224,0.12258134037256241,1.611133098602295
15,8000,256,0.036426179111003876,0.8486394882202148
15,8000,288,0.03465305641293526,0.7771577835083008
15,8000,320,0.061633676290512085,1.115880012512207
15,8000,352,0.1414770781993866,1.7320998907089233
15,8000,384,0.06770288199186325,1.1288561820983887
15,8000,416,0.5621747970581055,3.2658252716064453
15,8000,448,0.029677776619791985,0.766038179397583
15,8000,480,0.15328766405582428,1.6632633209228516
15,8000,512,0.19300425052642822,1.6520583629608154
20,200,32,0.04511159658432007,0.9294872283935547
20,200,64,0.4430769085884094,3.28291392326355
20,200,96,0.43959611654281616,2.9886486530303955
20,200,128,0.26830682158470154,2.1040520668029785
20,200,160,0.5861636996269226,2.467254638671875
20,200,192,0.5510132908821106,3.4377007484436035
20,200,224,0.5834711194038391,3.844632148742676
20,200,256,0.15464898943901062,1.590949296951294
20,200,288,0.5428111553192139,3.6118063926696777
20,200,320,0.4491441547870636,2.9101123809814453
20,200,352,0.3361879289150238,2.4686224460601807
20,200,384,0.21300362050533295,2.1870174407958984
20,200,416,0.14422015845775604,1.7810475826263428
20,200,448,0.2604576647281647,2.0968551635742188
20,200,480,0.5472337603569031,3.0552144050598145
20,200,512,0.14376895129680634,1.8586487770080566
20,500,32,0.030958717688918114,0.7527749538421631
20,500,64,0.07364444434642792,1.3119964599609375
20,500,96,0.2172394096851349,1.9619040489196777
20,500,128,0.07745913416147232,1.3486648797988892
20,500,160,0.12496325373649597,1.6595089435577393
20,500,192,0.5541753172874451,3.602383613586426
20,500,224,0.09037943184375763,1.5585651397705078
20,500,256,0.13259835541248322,1.699294090270996
20,500,288,0.25149673223495483,1.8620805740356445
20,500,320,0.14044681191444397,1.7838016748428345
20,500,352,0.10236062854528427,1.1877415180206299
20,500,384,0.15413892269134521,1.6369249820709229
20,500,416,0.13758768141269684,1.7134065628051758
20,500,448,0.5244574546813965,3.5818276405334473
20,500,480,0.1857590675354004,1.6091699600219727
20,500,512,0.1266862004995346,1.547079086303711
20,1000,32,0.07129370421171188,1.1058310270309448
20,1000,64,0.3822557330131531,2.809553861618042
20,1000,96,0.2986971139907837,2.0968728065490723
20,1000,128,0.045320626348257065,0.9290235042572021
20,1000,160,0.1645601987838745,1.7176958322525024
20,1000,192,0.5562654733657837,3.6331000328063965
20,1000,224,0.25137296319007874,2.049086570739746
20,1000,256,0.22916844487190247,2.138171434402466
20,1000,288,0.03917617350816727,0.8019579648971558
20,1000,320,0.2129661589860916,2.2154653072357178
20,1000,352,0.23746301233768463,2.300091028213501
20,1000,384,0.04998347908258438,0.9909523725509644
20,1000,416,0.11508145183324814,1.669413447380066
20,1000,448,0.080178402364254,1.3336162567138672
20,1000,480,0.4919416010379791,2.666780710220337
20,1000,512,0.03642573207616806,0.8321247100830078
20,2000,32,0.03291986882686615,0.7922220230102539
20,2000,64,0.14269579946994781,1.7036147117614746
20,2000,96,0.3044193685054779,2.242766857147217
20,2000,128,0.11082164198160172,1.651475191116333
20,2000,160,0.09875833988189697,1.380159616470337
20,2000,192,0.22058314085006714,1.9290034770965576
20,2000,224,0.0909743532538414,1.2161955833435059
20,2000,256,0.8873007893562317,3.6303224563598633
20,2000,288,0.5724380016326904,3.7776646614074707
20,2000,320,0.1154845654964447,1.3224949836730957
20,2000,352,0.04727698117494583,1.0163931846618652
20,2000,384,0.0677550658583641,1.017479658126831
20,2000,416,0.12659434974193573,1.666853427886963
20,2000,448,0.09179568290710449,1.4023038148880005
20,2000,480,0.5580721497535706,3.6553263664245605
20,2000,512,0.051002684980630875,0.9427016973495483
20,4000,32,0.01580197550356388,0.589759111404419
20,4000,64,0.25702032446861267,2.2871785163879395
20,4000,96,0.48075854778289795,3.3839449882507324
20,4000,128,0.06063322350382805,1.0150426626205444
20,4000,160,0.06439241766929626,1.0468120574951172
20,4000,192,0.08525855094194412,1.3117871284484863
20,4000,224,0.050868649035692215,0.9005310535430908
20,4000,256,0.08325114101171494,1.2097256183624268
20,4000,288,0.1272571086883545,1.8572463989257812
20,4000,320,0.1494155377149582,1.5702970027923584
20,4000,352,0.1902664750814438,1.7528529167175293
20,4000,384,0.22425119578838348,2.0984716415405273
20,4000,416,0.13802963495254517,1.9207100868225098
20,4000,448,0.11765974014997482,1.5918086767196655
20,4000,480,0.1474655717611313,1.7093029022216797
20,4000,512,0.33131372928619385,2.7940573692321777
20,6000,32,0.027327297255396843,0.6910351514816284
20,6000,64,0.06626064330339432,1.1306986808776855
20,6000,96,0.4422175884246826,3.315178871154785
20,6000,128,0.06940687447786331,1.144432544708252
20,6000,160,0.2994249761104584,2.4891085624694824
20,6000,192,0.5546985864639282,3.3525211811065674
20,6000,224,0.09393243491649628,1.1712126731872559
20,6000,256,0.04911625385284424,1.0308358669281006
20,6000,288,0.09679606556892395,1.4204999208450317
20,6000,320,0.06708000600337982,1.2016353607177734
20,6000,352,0.1414674073457718,1.956617832183838
20,6000,384,0.27561140060424805,2.267477035522461
20,6000,416,0.34910914301872253,2.4304637908935547
20,6000,448,0.5553498268127441,3.3428003787994385
20,6000,480,1.5399178266525269,3.2016165256500244
20,6000,512,0.11671779304742813,1.4644641876220703
20,8000,32,0.014797959476709366,0.5418286323547363
20,8000,64,0.029680728912353516,0.7848634719848633
20,8000,96,0.3998848795890808,2.494213104248047
20,8000,128,0.043706826865673065,0.8008880615234375
20,8000,160,0.10313928127288818,1.4858803749084473
20,8000,192,0.05304444953799248,1.006056547164917
20,8000,224,0.07101935148239136,1.2678124904632568
20,8000,256,0.13573245704174042,1.5032683610916138
20,8000,288,0.08226771652698517,1.2803810834884644
20,8000,320,0.12382973730564117,1.617922306060791
20,8000,352,0.10475131124258041,1.2349107265472412
20,8000,384,0.8675268292427063,3.5505032539367676
20,8000,416,0.23569007217884064,2.343909978866577
20,8000,448,0.5563901662826538,3.3285470008850098
20,8000,480,0.5578444600105286,3.652683734893799
20,8000,512,0.12123747169971466,1.5483872890472412
30,200,32,0.09318433701992035,1.3278021812438965
30,200,64,0.4251885414123535,2.710939884185791
30,200,96,0.2296847403049469,1.9307762384414673
30,200,128,0.4977676272392273,2.8302550315856934
30,200,160,0.1505482941865921,1.8647186756134033
30,200,192,0.15364855527877808,1.6335954666137695
30,200,224,0.42186108231544495,2.933770179748535
30,200,256,0.2781202495098114,1.9307600259780884
30,200,288,0.6694976687431335,3.4462673664093018
30,200,320,0.14278654754161835,1.6655641794204712
30,200,352,0.6403012871742249,3.2116994857788086
30,200,384,0.11976905912160873,1.534016489982605
30,200,416,0.23531685769557953,2.0050694942474365
30,200,448,0.20311789214611053,2.065718412399292
30,200,480,0.614672839641571,3.24074649810791
30,200,512,0.5917665362358093,2.6286308765411377
30,500,32,0.04357558861374855,0.8547632694244385
30,500,64,0.059865232557058334,1.1912291049957275
30,500,96,0.4808650016784668,3.610687494277954
30,500,128,0.05038408562541008,0.9655088186264038
30,500,160,0.5815405249595642,2.8434414863586426
30,500,192,0.29007935523986816,2.4171929359436035
30,500,224,0.26658523082733154,2.3243567943573
30,500,256,0.433388352394104,2.4239373207092285
30,500,288,0.1303713321685791,1.8194897174835205
30,500,320,0.1331435889005661,1.664510726928711
30,500,352,0.16546222567558289,1.6023378372192383
30,500,384,0.09188584238290787,1.0592325925827026
30,500,416,0.7454792261123657,4.084740161895752
30,500,448,0.08933235704898834,1.4115855693817139
30,500,480,0.16977712512016296,1.6044137477874756
30,500,512,0.21558253467082977,1.7725131511688232
30,1000,32,0.05428636819124222,0.9837276935577393
30,1000,64,0.054155267775058746,0.8769936561584473
30,1000,96,0.21223391592502594,1.7667311429977417
30,1000,128,0.07238790392875671,1.1614253520965576
30,1000,160,0.08716880530118942,1.244602918624878
30,1000,192,0.5562654733657837,3.6331000328063965
30,1000,224,0.14521172642707825,1.9227423667907715
30,1000,256,0.18130356073379517,1.9233622550964355
30,1000,288,0.1150253564119339,1.8135900497436523
30,1000,320,0.2768283784389496,1.821089506149292
30,1000,352,0.14379218220710754,1.5455000400543213
30,1000,384,0.15768857300281525,1.4885988235473633
30,1000,416,0.2061949223279953,2.023611545562744
30,1000,448,0.4122006297111511,2.6812057495117188
30,1000,480,0.04714531451463699,0.8418431282043457
30,1000,512,0.13004571199417114,1.8152661323547363
30,2000,32,0.041012611240148544,0.8838939666748047
30,2000,64,0.046756092458963394,1.001939296722412
30,2000,96,0.2679137885570526,2.247504711151123
30,2000,128,0.032128382474184036,0.7755413055419922
30,2000,160,0.08261688798666,1.2237541675567627
30,2000,192,0.1548776477575302,1.9624979496002197
