Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,6.359925746917725,6.387387752532959,6.0726330280303955,0.375
ResNet,10.388586044311523,10.585107803344727,6.857282876968384,0.1396484375
MLKM,4.6936869621276855,4.86294412612915,7.458715915679932,0.28125
ResKernelNet,4.688714027404785,5.008166790008545,7.070043087005615,0.1486530303955078
DKL,4.331238269805908,4.563962936401367,39.720099210739136,0.36350536346435547
DGP,4.06852388381958,4.03513240814209,428.4285252094269,1.359375
