Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,1.519129991531372,1.4962514638900757,6.706301927566528,0.15015125274658203
ResNet,6.710819244384766,6.671260833740234,7.217828989028931,0.14415550231933594
MLKM,0.5126565098762512,0.549192488193512,6.567297697067261,0.14098453521728516
ResKernelNet,0.3408861756324768,0.36200234293937683,9.471122980117798,0.1461620330810547
DKL,0.3303797245025635,0.3503609001636505,29.622781991958618,0.625
DGP,0.2590191662311554,0.2568608522415161,433.47504687309265,0.984375
