Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,0.009393520653247833,0.010217204689979553,292.53699827194214,21.4375
ResNet,0.005629702005535364,0.005706516094505787,219.2872450351715,0.71875
MLKM,0.019221287220716476,0.018730085343122482,185.09305810928345,0.953125
ResKernelNet,0.02034071274101734,0.018937496468424797,204.40487718582153,0.90625
DKL,0.0049573457799851894,0.007954277098178864,180.70731115341187,1.875
DGP,0.0008879216038621962,0.0009920289739966393,922.8863718509674,1.015625
