gamma,MLKM_train,MLKM_test,MLKM_interval,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval
0.1,0.13348224759101868,0.1329064518213272,1.234867811203003,0.13414599001407623,0.13471411168575287,1.2622791528701782
0.5,0.04024443402886391,0.04121413454413414,0.8359754085540771,0.034467555582523346,0.03442436084151268,0.7158985137939453
1.0,0.01633249595761299,0.015171697363257408,0.5022890567779541,0.012528328225016594,0.012443198822438717,0.4554474353790283
2.0,0.0046576280146837234,0.005275109317153692,0.2999906539916992,0.0017584499437361956,0.001969464821740985,0.18400642275810242
5.0,0.008251843973994255,0.009018424898386002,0.4226389527320862,0.00029132922645658255,0.0004203694988973439,0.07886826992034912
