n,D,test_mse,interval
200,32,0.22624482214450836,2.052431583404541
200,64,0.2183285802602768,1.9656435251235962
200,96,0.21976995468139648,2.0149478912353516
200,128,0.2422417849302292,2.181999921798706
200,160,0.19820280373096466,1.7980811595916748
200,192,0.20264728367328644,1.8475134372711182
200,224,0.19393065571784973,1.7931020259857178
200,256,0.2241564244031906,1.960392713546753
200,288,0.2087552845478058,1.835437297821045
200,320,0.19076861441135406,1.8116874694824219
200,352,0.19339752197265625,1.792328953742981
200,384,0.19806823134422302,1.8393499851226807
200,416,0.18670085072517395,1.761685848236084
200,448,0.19710583984851837,1.7962857484817505
200,480,0.19937387108802795,1.7582987546920776
200,512,0.19109708070755005,1.7870670557022095
500,32,0.2051430344581604,1.8235926628112793
500,64,0.18402881920337677,1.7901865243911743
500,96,0.15661078691482544,1.7035061120986938
500,128,0.1759469211101532,1.781753659248352
500,160,0.21791991591453552,1.8899823427200317
500,192,0.18747568130493164,1.771329641342163
500,224,0.1686713546514511,1.7230194807052612
500,256,0.17230075597763062,1.687697410583496
500,288,0.1867217719554901,1.7188084125518799
500,320,0.17624197900295258,1.7205272912979126
500,352,0.18870578706264496,1.7501591444015503
500,384,0.18014149367809296,1.6822644472122192
500,416,0.18860875070095062,1.784109115600586
500,448,0.1716819703578949,1.6934881210327148
500,480,0.18684257566928864,1.7328882217407227
500,512,0.20636875927448273,1.8173829317092896
1000,32,0.19466830790042877,1.8397959470748901
1000,64,0.15924334526062012,1.6700454950332642
1000,96,0.11887658387422562,1.4913114309310913
1000,128,0.15285837650299072,1.6359202861785889
1000,160,0.18054111301898956,1.7979282140731812
1000,192,0.17572075128555298,1.7068873643875122
1000,224,0.1624479442834854,1.6261906623840332
1000,256,0.15321819484233856,1.5957010984420776
1000,288,0.17146100103855133,1.6542439460754395
1000,320,0.1836780160665512,1.7862038612365723
1000,352,0.16839511692523956,1.6483814716339111
1000,384,0.19072052836418152,1.825317144393921
1000,416,0.1721235066652298,1.7349132299423218
1000,448,0.162124902009964,1.6980923414230347
1000,480,0.1827944666147232,1.716542363166809
1000,512,0.1798437535762787,1.7599141597747803
2000,32,0.15991027653217316,1.7853426933288574
2000,64,0.1626848727464676,1.7113972902297974
2000,96,0.11790824681520462,1.3967920541763306
2000,128,0.16748084127902985,1.7925083637237549
2000,160,0.14898061752319336,1.6222727298736572
2000,192,0.12909488379955292,1.4772894382476807
2000,224,0.17251279950141907,1.730496883392334
2000,256,0.15135322511196136,1.5869553089141846
2000,288,0.17608265578746796,1.698395848274231
2000,320,0.17927731573581696,1.6764534711837769
2000,352,0.18138466775417328,1.748641848564148
2000,384,0.17473872005939484,1.7675158977508545
2000,416,0.18887194991111755,1.7415717840194702
2000,448,0.1638580858707428,1.6300877332687378
2000,480,0.18544884026050568,1.7788690328598022
2000,512,0.1782895177602768,1.7190909385681152
4000,32,0.15987247228622437,1.6865309476852417
4000,64,0.13027313351631165,1.413773536682129
4000,96,0.1365886628627777,1.5150848627090454
4000,128,0.15519563853740692,1.6805481910705566
4000,160,0.17681656777858734,1.7022607326507568
4000,192,0.1258702576160431,1.4675184488296509
4000,224,0.15878652036190033,1.575120210647583
4000,256,0.13996407389640808,1.580673098564148
4000,288,0.14737607538700104,1.580047607421875
4000,320,0.17031832039356232,1.619958519935608
4000,352,0.1904115527868271,1.762140154838562
4000,384,0.17391613125801086,1.7544169425964355
4000,416,0.17477358877658844,1.7135298252105713
4000,448,0.18508104979991913,1.7318458557128906
4000,480,0.18885640799999237,1.8266335725784302
4000,512,0.1723344922065735,1.7193223237991333
6000,32,0.15479661524295807,1.6444318294525146
6000,64,0.16390176117420197,1.7470955848693848
6000,96,0.1462746560573578,1.7078924179077148
6000,128,0.14764879643917084,1.722272515296936
6000,160,0.1470848023891449,1.5873054265975952
6000,192,0.13551050424575806,1.5543467998504639
6000,224,0.14031720161437988,1.5905201435089111
6000,256,0.14520926773548126,1.5714985132217407
6000,288,0.14328789710998535,1.5164775848388672
6000,320,0.15379838645458221,1.6267117261886597
6000,352,0.16905441880226135,1.7326136827468872
6000,384,0.16777004301548004,1.7113170623779297
6000,416,0.17932912707328796,1.6924512386322021
6000,448,0.14937610924243927,1.5682405233383179
6000,480,0.18144534528255463,1.7545405626296997
6000,512,0.17708319425582886,1.7535866498947144
8000,32,0.15421155095100403,1.7067924737930298
8000,64,0.16587115824222565,1.782482624053955
8000,96,0.12594489753246307,1.5299193859100342
8000,128,0.1536998301744461,1.7205047607421875
8000,160,0.1498405486345291,1.5852549076080322
8000,192,0.14094500243663788,1.5411715507507324
8000,224,0.1437200903892517,1.6065431833267212
8000,256,0.14338144659996033,1.6021878719329834
8000,288,0.17244760692119598,1.696318507194519
8000,320,0.17289334535598755,1.7415871620178223
8000,352,0.1869477778673172,1.8005547523498535
8000,384,0.17383159697055817,1.6813414096832275
8000,416,0.1793106496334076,1.7059743404388428
8000,448,0.160233274102211,1.6390281915664673
8000,480,0.17416656017303467,1.775519609451294
8000,512,0.18101300299167633,1.738991141319275
