n,D,test_mse,interval
200,32,0.2071714997291565,1.8213427066802979
200,64,0.20215639472007751,1.8312702178955078
200,96,0.19793856143951416,1.7829102277755737
200,128,0.19973887503147125,1.7733254432678223
200,160,0.20057040452957153,1.76790189743042
200,192,0.20417551696300507,1.817484736442566
200,224,0.20386295020580292,1.8273906707763672
200,256,0.2107541263103485,1.8578245639801025
200,288,0.20584598183631897,1.8439708948135376
200,320,0.21109096705913544,1.9039093255996704
200,352,0.21318776905536652,1.9878652095794678
200,384,0.2107027918100357,1.9489802122116089
200,416,0.20897312462329865,1.8759853839874268
200,448,0.2119855284690857,1.908435344696045
200,480,0.21061640977859497,1.9335486888885498
200,512,0.2119801938533783,1.9443674087524414
500,32,0.18748308718204498,1.731492519378662
500,64,0.18992172181606293,1.7505786418914795
500,96,0.19432027637958527,1.7390234470367432
500,128,0.19316135346889496,1.7463247776031494
500,160,0.19762633740901947,1.809557318687439
500,192,0.1942366063594818,1.7162295579910278
500,224,0.19461782276630402,1.7527248859405518
500,256,0.19068433344364166,1.711351990699768
500,288,0.19395248591899872,1.771996021270752
500,320,0.19764593243598938,1.7876875400543213
500,352,0.19150470197200775,1.7260605096817017
500,384,0.20112912356853485,1.7743748426437378
500,416,0.1974034458398819,1.787010669708252
500,448,0.1920439451932907,1.7406983375549316
500,480,0.1934625804424286,1.7284824848175049
500,512,0.19568774104118347,1.7833555936813354
1000,32,0.19045595824718475,1.7776820659637451
1000,64,0.18854907155036926,1.7520687580108643
1000,96,0.18881496787071228,1.7262998819351196
1000,128,0.18645697832107544,1.7419079542160034
1000,160,0.17748376727104187,1.698222279548645
1000,192,0.18995516002178192,1.7816903591156006
1000,224,0.18452957272529602,1.7467926740646362
1000,256,0.1839950829744339,1.8007258176803589
1000,288,0.18563096225261688,1.7544745206832886
1000,320,0.17857031524181366,1.7644851207733154
1000,352,0.18080760538578033,1.735283613204956
1000,384,0.1753433495759964,1.8180290460586548
1000,416,0.1846257746219635,1.7261394262313843
1000,448,0.18626458942890167,1.7265560626983643
1000,480,0.18864475190639496,1.7361756563186646
1000,512,0.18543817102909088,1.7262420654296875
2000,32,0.1766330599784851,1.6532094478607178
2000,64,0.17997336387634277,1.6917695999145508
2000,96,0.17991507053375244,1.7578365802764893
2000,128,0.17606352269649506,1.637154459953308
2000,160,0.16840863227844238,1.6500420570373535
2000,192,0.17304760217666626,1.6757276058197021
2000,224,0.16933368146419525,1.7191601991653442
2000,256,0.17056041955947876,1.6641520261764526
2000,288,0.1649421751499176,1.663635015487671
2000,320,0.16532431542873383,1.6794520616531372
2000,352,0.168825164437294,1.7427656650543213
2000,384,0.1633986085653305,1.685549259185791
2000,416,0.17267705500125885,1.6225979328155518
2000,448,0.17630331218242645,1.7011568546295166
2000,480,0.1713562309741974,1.6408720016479492
2000,512,0.16975408792495728,1.6397743225097656
4000,32,0.16461458802223206,1.656459927558899
4000,64,0.17416319251060486,1.657612919807434
4000,96,0.1535043865442276,1.6162054538726807
4000,128,0.1572493314743042,1.6735386848449707
4000,160,0.15776289999485016,1.6694397926330566
4000,192,0.1379534900188446,1.4780464172363281
4000,224,0.13352322578430176,1.5079443454742432
4000,256,0.13957326114177704,1.5622775554656982
4000,288,0.15633602440357208,1.6406044960021973
4000,320,0.14434181153774261,1.6075931787490845
4000,352,0.15229971706867218,1.5759925842285156
4000,384,0.15520119667053223,1.6729261875152588
4000,416,0.15795078873634338,1.6555277109146118
4000,448,0.13307683169841766,1.5179615020751953
4000,480,0.1586688905954361,1.640401840209961
4000,512,0.14846298098564148,1.6303369998931885
6000,32,0.16643673181533813,1.6177783012390137
6000,64,0.12278356403112411,1.4358710050582886
6000,96,0.13235940039157867,1.5769466161727905
6000,128,0.15550152957439423,1.6752874851226807
6000,160,0.11323327571153641,1.4811259508132935
6000,192,0.11818583309650421,1.4397802352905273
6000,224,0.12058836221694946,1.4990835189819336
6000,256,0.12755544483661652,1.4715319871902466
6000,288,0.10543647408485413,1.4524154663085938
6000,320,0.1373368203639984,1.5095322132110596
6000,352,0.15802434086799622,1.6887469291687012
6000,384,0.15615403652191162,1.7115389108657837
6000,416,0.15902817249298096,1.6709282398223877
6000,448,0.15529516339302063,1.6709046363830566
6000,480,0.16025863587856293,1.675976037979126
6000,512,0.11187893152236938,1.4698714017868042
8000,32,0.15789580345153809,1.6438227891921997
8000,64,0.13990558683872223,1.6016643047332764
8000,96,0.11939015239477158,1.4635924100875854
8000,128,0.11438591033220291,1.4586893320083618
8000,160,0.10921163856983185,1.448580026626587
8000,192,0.11113747954368591,1.4538613557815552
8000,224,0.11066259443759918,1.4516181945800781
8000,256,0.12336207926273346,1.4496300220489502
8000,288,0.10800802707672119,1.5116353034973145
8000,320,0.1497158259153366,1.6903507709503174
8000,352,0.15612103044986725,1.7173936367034912
8000,384,0.11594072729349136,1.4710757732391357
8000,416,0.153249129652977,1.6850205659866333
8000,448,0.15690551698207855,1.6761983633041382
8000,480,0.15753677487373352,1.739896535873413
8000,512,0.12200591713190079,1.4941332340240479
