Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.953,4.623664855957031,,
ResNet,0.94,9.445409774780273,,
MLKM,0.9445,2.780017852783203,0.9415,2.7788459725126406
ResKernelNet,0.9295,2.1818466186523438,0.9367728882144664,2.210365063484965
DKL,0.9495,2.291473388671875,,
DGP,0.949,1.9695625305175781,,
