Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,0.0058465260080993176,0.005987453740090132,8.697230815887451,0.25559520721435547
ResNet,0.001864464022219181,0.001989879412576556,13.031494855880737,0.2689666748046875
MLKM,0.0002663498744368553,0.0003287237195763737,20.971433877944946,0.2868480682373047
ResKernelNet,0.0005125655443407595,0.0006283088005147874,15.890686988830566,0.2618741989135742
DKL,0.0031056299339979887,0.004676832351833582,167.47209692001343,0.640625
DGP,1.5096582501428202e-05,1.5927002095850185e-05,673.8766601085663,0.7224864959716797
