n,D,test_mse,interval
200,32,0.03536171093583107,0.5731877684593201
200,64,0.00458488380536437,0.3025975227355957
200,96,0.003477612044662237,0.2051154375076294
200,128,0.0011478426167741418,0.13474488258361816
200,160,0.002637802856042981,0.16663986444473267
200,192,0.0018819859251379967,0.16940736770629883
200,224,0.0011955518275499344,0.15172848105430603
200,256,0.0020176409743726254,0.17977400124073029
200,288,0.0017187338089570403,0.15445584058761597
200,320,0.0013140051160007715,0.15603971481323242
200,352,0.002885292051360011,0.1716718077659607
200,384,0.002208240795880556,0.19156503677368164
200,416,0.001990530639886856,0.2116144299507141
200,448,0.002617690246552229,0.2256532907485962
200,480,0.001929369755089283,0.16748106479644775
200,512,0.002346387831494212,0.19924739003181458
500,32,0.0029770678374916315,0.16635963320732117
500,64,0.0007118824869394302,0.09524592757225037
500,96,0.0007058579940348864,0.10899204015731812
500,128,0.0003683418035507202,0.07286655902862549
500,160,0.0004339430888649076,0.07263443619012833
500,192,0.00042418108205311,0.07448911666870117
500,224,0.0003719606902450323,0.07280351221561432
500,256,0.0003801208222284913,0.06837701797485352
500,288,0.000622774416115135,0.09073781967163086
500,320,0.0003380647976882756,0.06956061720848083
500,352,0.0003756800724659115,0.06512878835201263
500,384,0.0003418023406993598,0.067283034324646
500,416,0.00037388381315395236,0.07307404279708862
500,448,0.0003720252716448158,0.07169151306152344
500,480,0.0002946520980913192,0.06446945667266846
500,512,0.00042831196333281696,0.07652634382247925
1000,32,0.0028401075396686792,0.22795939445495605
1000,64,0.00033257377799600363,0.06959307193756104
1000,96,0.0005461298860609531,0.09382855892181396
1000,128,0.0003385730378795415,0.07084894180297852
1000,160,0.00032838716288097203,0.06973469257354736
1000,192,0.00024009811750147492,0.059986427426338196
1000,224,0.0003033929970115423,0.06770062446594238
1000,256,0.0002731974236667156,0.06279993057250977
1000,288,0.000327569548971951,0.07325029373168945
1000,320,0.00021119309531059116,0.056598369032144547
1000,352,0.00024094272521324456,0.058694660663604736
1000,384,0.00021565964561887085,0.0585017204284668
1000,416,0.00027271121507510543,0.06492996215820312
1000,448,0.0002613756514620036,0.06149870902299881
1000,480,0.00023467883875127882,0.05881400406360626
1000,512,0.00020041489915456623,0.05368947982788086
2000,32,0.0014695074642077088,0.12871742248535156
2000,64,0.00024315345217473805,0.06314325332641602
2000,96,0.0003308976301923394,0.07087104022502899
2000,128,0.00024031529028434306,0.059039898216724396
2000,160,0.00021666084649041295,0.053562939167022705
2000,192,0.0001971561723621562,0.05449962615966797
2000,224,0.00022453503333963454,0.05745553970336914
2000,256,0.0002070360933430493,0.05637526512145996
2000,288,0.00022248210734687746,0.05758027732372284
2000,320,0.00018756389908958226,0.050922513008117676
2000,352,0.00019726833852473646,0.05267496407032013
2000,384,0.0002044384746113792,0.052286624908447266
2000,416,0.00020212963863741606,0.056739091873168945
2000,448,0.00020528087043203413,0.05603528022766113
2000,480,0.00017261785978917032,0.048238515853881836
2000,512,0.00021355260105337948,0.05510568618774414
4000,32,0.00043242203537374735,0.08051815629005432
4000,64,0.0001903596566990018,0.05199551582336426
4000,96,0.0002496100787539035,0.06163923814892769
4000,128,0.0002050491893896833,0.05412936210632324
4000,160,0.0001883274962892756,0.05048012733459473
4000,192,0.00015073048416525126,0.04609236121177673
4000,224,0.00015781739784870297,0.047528982162475586
4000,256,0.0001524377439636737,0.04997986927628517
4000,288,0.00015955408161971718,0.04808354377746582
4000,320,0.00018308201106265187,0.052040163427591324
4000,352,0.0001545423292554915,0.047716617584228516
4000,384,0.00016764612519182265,0.0501323938369751
4000,416,0.00015801166591700166,0.048492431640625
4000,448,0.00015089196676854044,0.04810953140258789
4000,480,0.00015241879737004638,0.04657411575317383
4000,512,0.00018540698511060327,0.05331079661846161
6000,32,0.0006829914054833353,0.09111450612545013
6000,64,0.00020674715051427484,0.05656346306204796
6000,96,0.00025643108529038727,0.06116199493408203
6000,128,0.0001964196708286181,0.054299838840961456
6000,160,0.00016992604651022702,0.0514225959777832
6000,192,0.00016201705147977918,0.05055117607116699
6000,224,0.00015594398428220302,0.04987525939941406
6000,256,0.00015423890727106482,0.04837304353713989
6000,288,0.00016638648230582476,0.051897644996643066
6000,320,0.00016295089153572917,0.04876136779785156
6000,352,0.00015995919238775969,0.049605607986450195
6000,384,0.0001690188655629754,0.049524784088134766
6000,416,0.00016298270202241838,0.049474239349365234
6000,448,0.00014948067837394774,0.04618549346923828
6000,480,0.0001449448463972658,0.04439353942871094
6000,512,0.00015614935546182096,0.04748266935348511
8000,32,0.00037156770122237504,0.07819462567567825
8000,64,0.00018098248983733356,0.05420875549316406
8000,96,0.00018687342526391149,0.055103302001953125
8000,128,0.00017611611110623926,0.05230450630187988
8000,160,0.00016758391575422138,0.05200481414794922
8000,192,0.00016063330986071378,0.04794597625732422
8000,224,0.00015431028441525996,0.04855036735534668
8000,256,0.00016115924518089741,0.05102205276489258
8000,288,0.00015257512859534472,0.049028635025024414
8000,320,0.00014295565779320896,0.047055721282958984
8000,352,0.0001437084865756333,0.04482579231262207
8000,384,0.0001545722916489467,0.048108626157045364
8000,416,0.00016378279542550445,0.05026650428771973
8000,448,0.00014758978795725852,0.047381043434143066
8000,480,0.00013929352280683815,0.046503543853759766
8000,512,0.00014797617041040212,0.04523010551929474
