Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.942,0.5546936988830566,,
ResNet,0.9525,0.5511943101882935,,
MLKM,0.9365,0.40167808532714844,0.9390625,0.40215632216792585
ResKernelNet,0.94,0.4156069755554199,0.9425,0.4193011585070126
DKL,0.9395,0.4620721638202667,,
DGP,0.939,0.38812294602394104,,
