Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,0.265980064868927,0.27380016446113586,12.440416097640991,0.2664003372192383
ResNet,0.2722683548927307,0.2848183214664459,10.696418762207031,0.2564105987548828
MLKM,0.2505691945552826,0.2676727771759033,13.986067056655884,0.609375
ResKernelNet,0.252083420753479,0.2643516957759857,9.023412942886353,0.2512187957763672
DKL,0.24774444103240967,0.26370441913604736,98.69339179992676,0.703125
DGP,0.2474965751171112,0.25401341915130615,765.7277131080627,1.53125
