Method,Train MSE,Test MSE,Time (s),CPU Peak (MB)
DNN,0.017170066013932228,0.0190981924533844,10.042818069458008,0.2603034973144531
ResNet,0.016625424847006798,0.018416864797472954,11.118016958236694,0.2508268356323242
MLKM,0.011276980862021446,0.011670294217765331,10.594969272613525,0.2639493942260742
ResKernelNet,0.01110728457570076,0.01245167851448059,21.720752239227295,0.2818794250488281
DKL,0.008544866926968098,0.015703771263360977,131.4687077999115,1.375
DGP,0.01049888040870428,0.010525688529014587,682.7788178920746,1.921875
