Method,σ=0.01,σ=0.1,σ=0.5
DNN,0.008456415496766567,0.0190981924533844,0.27380016446113586
ResNet,0.004287031013518572,0.018416864797472954,0.2848183214664459
MLKM,0.00043395961984060705,0.011670294217765331,0.2676727771759033
ResKernelNet,0.0007202114793471992,0.01245167851448059,0.2643516957759857
DKL,0.003918393049389124,0.015703771263360977,0.26370441913604736
DGP,0.0001401943009113893,0.010525688529014587,0.25401341915130615
