D,MLKM_train,MLKM_test,MLKM_interval,MLKM_ep,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval,ResKernelNet_ep
32,0.030747823417186737,0.030746281147003174,0.6927271485328674,68,0.019914530217647552,0.019160445779561996,0.519352912902832,90
64,0.02910025604069233,0.030898507684469223,0.7006087899208069,107,0.029213225468993187,0.031239863485097885,0.6798214912414551,131
96,0.04077492281794548,0.04194853454828262,0.8364250659942627,101,0.031980250030756,0.03333190083503723,0.7213022708892822,105
128,0.057785723358392715,0.05155001953244209,0.9469132423400879,126,0.03880203887820244,0.040595658123493195,0.7803927659988403,96
160,0.062060631811618805,0.06308560073375702,0.9389877319335938,252,0.04861105605959892,0.051773447543382645,0.9076517820358276,74
192,0.2466091513633728,0.24960201978683472,1.9227803945541382,103,0.1092994287610054,0.11870288848876953,1.3075371980667114,131
224,0.9305015802383423,0.9634937047958374,3.948577880859375,111,0.07068733870983124,0.07156932353973389,1.0882387161254883,72
256,0.7514911890029907,0.7789877653121948,3.753938674926758,99,0.11486499011516571,0.1280093491077423,1.4614533185958862,122
288,0.6209834218025208,0.6502262949943542,3.3907222747802734,58,0.05214308574795723,0.052431151270866394,0.8959160447120667,109
320,0.494232714176178,0.507135808467865,2.4813106060028076,165,0.06675619632005692,0.06993239372968674,1.0511250495910645,146
352,0.5823657512664795,0.597292959690094,3.0977163314819336,84,0.09106887131929398,0.09865274280309677,1.1474361419677734,154
384,0.5854890942573547,0.6053349375724792,3.204122543334961,114,0.10380586236715317,0.10657273232936859,1.2660084962844849,134
416,0.6126993894577026,0.6299952268600464,3.4588146209716797,56,0.11835011839866638,0.134490504860878,1.3997375965118408,168
448,0.7417400479316711,0.7604695558547974,3.64864444732666,74,0.12178481370210648,0.13158994913101196,1.340202808380127,107
480,0.6012168526649475,0.6133682727813721,3.1708836555480957,152,0.09081000834703445,0.09674300998449326,1.242582082748413,191
512,0.5646547079086304,0.5872823596000671,3.0615463256835938,141,0.09084007889032364,0.09475300461053848,1.0765786170959473,97
