Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.941,2.008657932281494,,
ResNet,0.939,2.0511951446533203,,
MLKM,0.9375,1.9427971839904785,0.9416710457172885,1.9473225643047194
ResKernelNet,0.937,1.9160771369934082,0.9375,1.9180752822099891
DKL,0.9465,1.9851083755493164,,
DGP,0.9355,1.8744075298309326,,
