Method,σ=0.01,σ=0.1,σ=0.5
DNN,0.4922921657562256,0.5546936988830566,2.008657932281494
ResNet,0.3788788318634033,0.5511943101882935,2.0511951446533203
MLKM,0.0722620040178299,0.40167808532714844,1.9427971839904785
ResKernelNet,0.09141937643289566,0.4156069755554199,1.9160771369934082
DKL,0.2779998779296875,0.4620721638202667,1.9851083755493164
DGP,0.04395604133605957,0.38812294602394104,1.8744075298309326
