Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.9355,3.857232093811035,,
ResNet,0.939,3.882248878479004,,
MLKM,0.9405,3.876229763031006,0.941,3.87376193992375
ResKernelNet,0.9335,3.8332619667053223,0.9344672336168084,3.838167246071202
DKL,0.9365,3.793365478515625,,
DGP,0.9395,3.7971253395080566,,
