n,DNN_time,DNN_test,DNN_interval,ResNet_time,ResNet_test,ResNet_interval,MLKM_time,MLKM_test,MLKM_interval,ResKernelNet_time,ResKernelNet_test,ResKernelNet_interval,DKL_time,DKL_test,DKL_interval,DGP_time,DGP_test,DGP_interval
200,0.44019293785095215,0.07842547446489334,1.3299684524536133,0.3205597400665283,0.13193945586681366,1.8717551231384277,0.6848158836364746,0.03536171093583107,0.5731877684593201,0.8587210178375244,0.038937103003263474,0.6836462020874023,0.42418503761291504,0.004311464726924896,0.29300522804260254,13.153141975402832,0.0010617675725370646,0.1362297534942627
500,1.248626947402954,0.007156910840421915,0.330172061920166,1.792551040649414,0.01854049041867256,0.6725115776062012,8.304059982299805,0.0029770678374916315,0.16635963320732117,1.8170080184936523,0.010516940616071224,0.3197123110294342,1.7653038501739502,0.0027839899994432926,0.20415347814559937,29.14965796470642,0.0003424502210691571,0.07097148895263672
1000,1.1706008911132812,0.007488309405744076,0.34254705905914307,1.8315930366516113,0.012417099438607693,0.5571551322937012,5.915756702423096,0.0028401075396686792,0.22795939445495605,4.535444974899292,0.0031625337433069944,0.20279698073863983,3.881411075592041,0.007782379165291786,0.40500426292419434,51.960087060928345,0.00027331567252986133,0.06674674153327942
2000,2.060499906539917,0.015175939537584782,0.5971345901489258,2.179316997528076,0.008307958953082561,0.4743921756744385,8.796207189559937,0.0014695074642077088,0.12871742248535156,5.0041069984436035,0.002176367212086916,0.15950360894203186,9.14716386795044,0.0018729313742369413,0.13896679878234863,84.11349201202393,0.0001606003352208063,0.0488739013671875
5000,2.0920677185058594,0.024889064952731133,0.8314599990844727,5.9539711475372314,0.0023598079569637775,0.2198479175567627,11.079725742340088,0.0005693797138519585,0.0897902250289917,13.226926803588867,0.0007394487620331347,0.10717391967773438,100.05303978919983,0.009912878274917603,0.3662482500076294,263.8626229763031,0.0001340899761999026,0.045317392796278
