D,MLKM_train,MLKM_test,MLKM_interval,MLKM_ep,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval,ResKernelNet_ep
32,0.0004335096455179155,0.0005006485152989626,0.07781592756509781,439,0.0008969438495114446,0.0010425561340525746,0.1178901195526123,315
64,0.00017744021897669882,0.00017371209105476737,0.051923513412475586,603,0.00034677915391512215,0.0003523467748891562,0.07656967639923096,193
96,0.00018765547429211438,0.00020817849144805223,0.05713069438934326,439,0.0002034231147263199,0.0002385692932875827,0.05712074041366577,203
128,0.00017788198601920158,0.00018944389012176543,0.05020904541015625,312,0.00021746029960922897,0.00023478888033423573,0.05663251876831055,322
160,0.00016030794358812273,0.00016473430150654167,0.049013495445251465,160,0.00018890746287070215,0.0002069170295726508,0.056386321783065796,280
192,0.00015185766096692532,0.00016431779658887535,0.04990994930267334,260,0.00021366811415646225,0.0002183292235713452,0.05628681182861328,130
224,0.0001577257935423404,0.0001587746519362554,0.0490567684173584,259,0.00018323585391044617,0.00018087351054418832,0.049657344818115234,226
256,0.0001482110092183575,0.0001553237234475091,0.04593849182128906,374,0.00015161937335506082,0.00015488245117012411,0.04470781236886978,221
288,0.00016555158072151244,0.00017111649503931403,0.04832041263580322,222,0.0002985736937262118,0.00029048798023723066,0.06393535435199738,188
320,0.00014201991143636405,0.00014833264867775142,0.046151988208293915,219,0.0001720188738545403,0.00019403034821152687,0.053272638469934464,164
352,0.0001399432949256152,0.0001589304010849446,0.0482608899474144,231,0.00013912920258007944,0.00014832803572062403,0.04386425018310547,219
384,0.00014832794840913266,0.00014962360728532076,0.047814663499593735,170,0.0001634427171666175,0.0001635131920920685,0.04789376258850098,173
416,0.0001666602329351008,0.0001689884957158938,0.05081784725189209,181,0.00016120368673000485,0.00016802272875793278,0.04777932167053223,242
448,0.00014480287791229784,0.00015616475138813257,0.04588174819946289,191,0.00013167771976441145,0.00013505223614629358,0.04432616010308266,310
480,0.0001470295392209664,0.00014980000560171902,0.045279502868652344,267,0.00017384046805091202,0.00019077368779107928,0.052026838064193726,169
512,0.0001471685100113973,0.00014767255925107747,0.0461275577545166,238,0.0001414229191141203,0.00014351475692819804,0.04436469078063965,270
