Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.9585,0.39121103286743164,,
ResNet,0.9495,0.22332072257995605,,
MLKM,0.929,0.06046515703201294,0.9295,0.06044405592340824
ResKernelNet,0.941,0.08107340335845947,0.942,0.08140921492967541
DKL,0.934,0.2139672338962555,,
DGP,0.941,0.016023993492126465,,
