Method,Split Cov,Split Interval,Split q_hat,Hetero Cov,Hetero Interval
DNN,0.9435,0.40992969274520874,0.20496484637260437,,
ResNet,0.9585,0.32279402017593384,0.16139701008796692,,
MLKM,0.957,0.5568546652793884,0.2784273326396942,0.9448529411764706,0.5149252344723118
ResKernelNet,0.963,0.5929306745529175,0.29646533727645874,0.9654676258992806,0.584917917902702
DKL,0.9465,0.4014623761177063,0.20073118805885315,,
DGP,0.9515,0.12462890148162842,0.06231445074081421,,
