D,MLKM_train,MLKM_test,MLKM_interval,MLKM_ep,ResKernelNet_train,ResKernelNet_test,ResKernelNet_interval,ResKernelNet_ep
32,0.019732201471924782,0.01896638609468937,0.5588740110397339,2000,0.021171193569898605,0.019911719486117363,0.6046731472015381,2000
64,0.02535811997950077,0.025424517691135406,0.6911113858222961,2000,0.02190038375556469,0.021624088287353516,0.5811260938644409,2000
96,0.021113330498337746,0.020952686667442322,0.5612573623657227,2000,0.021979782730340958,0.020782211795449257,0.6126936674118042,2000
128,0.021663431078195572,0.020811088383197784,0.6117180585861206,2000,0.031159337610006332,0.03233618289232254,0.7605975270271301,2000
160,0.0288814939558506,0.028704609721899033,0.75262451171875,2000,0.016636760905385017,0.01704230345785618,0.5074629187583923,2000
192,0.049614548683166504,0.05083274841308594,0.9445449709892273,2000,0.028897961601614952,0.028440210968255997,0.687465488910675,2000
224,0.0270074550062418,0.02730395831167698,0.6574658751487732,2000,0.016671163961291313,0.016706077381968498,0.5037069916725159,2000
256,0.03674027696251869,0.036700643599033356,0.7351927757263184,2000,0.032583434134721756,0.03480425104498863,0.6995922327041626,2000
288,0.03317263349890709,0.0350814051926136,0.6888942718505859,2000,0.02301490306854248,0.022683488205075264,0.5919088125228882,2000
320,0.03868449851870537,0.03724320977926254,0.7921249866485596,2000,0.043494366109371185,0.044637251645326614,0.8796042203903198,2000
352,0.12587518990039825,0.12771879136562347,1.3049606084823608,2000,0.06404471397399902,0.06695950031280518,1.0388675928115845,2000
384,0.07051946967840195,0.06744280457496643,1.0662415027618408,2000,0.0871342271566391,0.08627108484506607,1.147308588027954,2000
416,0.05994062498211861,0.057750213891267776,1.0094513893127441,2000,0.08461742103099823,0.08791732788085938,1.18097722530365,2000
448,0.08826708048582077,0.0905449390411377,1.0844688415527344,2000,0.09282313287258148,0.09681333601474762,1.2381961345672607,2000
480,0.09101884067058563,0.0956825241446495,1.2178956270217896,2000,0.1138724833726883,0.12019416689872742,1.234825611114502,2000
512,0.07439739257097244,0.08013273775577545,1.0750548839569092,2000,0.08854540437459946,0.08800558745861053,1.279282569885254,2000
