nu,n,D,test_mse,interval
15,2000,160,0.0767483338713646,1.2207820415496826
15,2000,192,0.06815829128026962,1.1194000244140625
15,2000,224,0.05520555004477501,1.0217714309692383
15,2000,256,0.06755539029836655,1.1286370754241943
15,2000,288,0.06503880023956299,1.0677732229232788
15,2000,320,0.07948416471481323,1.2627224922180176
15,2000,352,0.05506765469908714,1.013870120048523
15,2000,384,0.07312065362930298,1.1738011837005615
15,2000,416,0.06929844617843628,1.1142220497131348
15,2000,448,0.06603500247001648,1.1418087482452393
15,2000,480,0.048923369497060776,0.9559877514839172
15,2000,512,0.0787360817193985,1.1604622602462769
15,4000,32,0.07445362210273743,1.0657069683074951
15,4000,64,0.11063165217638016,1.3134905099868774
15,4000,96,0.05273406207561493,0.9194613695144653
15,4000,128,0.0500834695994854,1.057723045349121
15,4000,160,0.05050917714834213,0.9632701873779297
15,4000,192,0.06948915868997574,1.107391119003296
15,4000,224,0.05150291323661804,0.9397326707839966
15,4000,256,0.04587296396493912,0.8657869696617126
15,4000,288,0.03888893499970436,0.8036836981773376
15,4000,320,0.0501292422413826,0.9992733597755432
15,4000,352,0.05960022658109665,1.0513627529144287
15,4000,384,0.05292419344186783,1.0139280557632446
15,4000,416,0.06525657325983047,1.0661567449569702
15,4000,448,0.04567868635058403,0.8928428888320923
15,4000,480,0.04112199321389198,0.8974427580833435
15,4000,512,0.043302033096551895,0.8722419142723083
15,6000,32,0.08667902648448944,1.190700888633728
15,6000,64,0.06899851560592651,1.2085434198379517
15,6000,96,0.05236869305372238,0.9559152722358704
15,6000,128,0.05293651670217514,0.9992389678955078
15,6000,160,0.04725249484181404,0.9642722606658936
15,6000,192,0.05847339332103729,1.0822545289993286
15,6000,224,0.045742373913526535,0.9677934646606445
15,6000,256,0.041973553597927094,0.9378796219825745
15,6000,288,0.048902276903390884,1.0352082252502441
15,6000,320,0.0470123253762722,0.8990591764450073
15,6000,352,0.05005335435271263,0.9851090312004089
15,6000,384,0.04337942600250244,0.9162193536758423
15,6000,416,0.046815432608127594,0.9647936820983887
15,6000,448,0.05064396560192108,0.9554790258407593
15,6000,480,0.04045712947845459,0.8957327604293823
15,6000,512,0.04224511608481407,0.8857715725898743
15,8000,32,0.06316163390874863,1.042044997215271
15,8000,64,0.061933450400829315,1.0316797494888306
15,8000,96,0.05380994454026222,0.9363468289375305
15,8000,128,0.051438502967357635,0.9439523816108704
15,8000,160,0.05487518757581711,1.0108506679534912
15,8000,192,0.05188887566328049,0.8953854441642761
15,8000,224,0.04315983131527901,0.8688480854034424
15,8000,256,0.03980594500899315,0.8101038932800293
15,8000,288,0.052563514560461044,0.9844650626182556
15,8000,320,0.05168270692229271,0.9096236228942871
15,8000,352,0.038602788001298904,0.8985307216644287
15,8000,384,0.04685581102967262,0.9133267402648926
15,8000,416,0.03964656963944435,0.8341174125671387
15,8000,448,0.041065290570259094,0.79258131980896
15,8000,480,0.03469201922416687,0.7825907468795776
