Method,Train MSE,Test MSE,Time (s),CPU Δ (MB),CPU Peak (MB),Conf. Coverage,Conf. Interval
RF+Ridge,0.879525246152225,5.26417308077329,1.8307228088378906,0.484375,1.8592844009399414,0.9461034231609614,4.69752686318838
DNN,0.27444424657118727,3.2456849672746517,21.25071096420288,-412.03125,0.37118053436279297,0.9497450837581938,4.569308757781982
ResNet,0.17643285571286818,3.6953545010015945,25.796560764312744,-18.546875,0.39064598083496094,0.9410050983248361,4.61517858505249
DKL,0.09328911640887465,4.564766681139044,16.026830196380615,-3.078125,0.3075876235961914,,
DGP,0.13471238612911487,4.788363745307531,369.1732931137085,-215.640625,2.21875,,
MLKM,0.3584186272802492,3.4255329387032636,3.9636809825897217,-4.28125,0.546875,0.9490167516387472,5.071933269500732
ResKernelNet,0.2562159905374099,2.7935373213697905,26.825624704360962,-1053.359375,1.109375,0.9482884195193008,4.361198902130127
