Method,Train MSE,Test MSE,Time (s),CPU Δ (MB),CPU Peak (MB),Conf. Coverage,Conf. Interval
RF+Ridge,0.12474238982924496,3.3483661582114443,2.800412893295288,2.09375,14.83181381225586,0.9264384559359068,3.9951627144180466
DNN,0.22294174562541616,2.0180453083021472,25.005293130874634,0.234375,0.39246463775634766,0.7931536780772032,3.117426872253418
ResNet,0.15477437146802842,2.0428582168033813,33.575443983078,-56.046875,0.4062309265136719,0.8448652585579024,3.232205629348755
DKL,0.04871685551548174,3.4989666413357217,29.8448269367218,0.21875,0.4597187042236328,,
DGP,0.1265788058392889,3.296202296152993,572.9635121822357,-230.71875,5.859375,,
MLKM,0.22081254239879278,3.3719588070601683,25.26344609260559,-3.9375,1.4375,0.9388201019664967,4.762932777404785
ResKernelNet,0.2663306578959273,1.7332843012016619,49.97317981719971,-386.546875,0.953125,0.9388201019664967,3.4875216484069824
