Method,Split Cov,Split Interval,Hetero Cov,Hetero Interval
DNN,0.9405,0.7316761016845703,,
ResNet,0.939,0.7659952044487,,
MLKM,0.9565,0.7222065925598145,0.9603214465092919,0.7283424415935605
ResKernelNet,0.9545,0.6964521408081055,0.955955955955956,0.6952208244840867
DKL,0.954,0.6809353828430176,,
DGP,0.954,0.6663432121276855,,
